GEO/TIME,BE,DE,GR,ES,FR,IT,NL,AT,PL,RO,SE,TR
2000-01,,,,,,,,,,,,
2000-04,-0.0258064516,-0.016959799,-0.0018939394,-0.0355658199,-0.0328565906,-0.0262202501,-0.035483871,-0.1304347826,0.0249266862,0.0269953052,-0.0405904059,
2000-07,0.0066225166,-0.0121405751,-0.0151802657,0.0019157088,-0.0287769784,-0.0223695112,-0.0468227425,0.0285714286,-0.0139484979,0.0228571429,-0.0538461538,
2000-10,-0.0493421053,-0.0132600259,-0.0558766859,-0.026290631,-0.0218106996,-0.0330508475,-0.049122807,-0.0069444444,0.0351831701,-0.0089385475,-0.0528455285,
2001-01,-0.0865051903,-0.0147492625,-0.0183673469,-0.0648011782,-0.0180900294,-0.0245398773,-0.0516605166,-0.027972028,0.0574632095,-0.0473506201,0.1545064378,
2001-04,0.0681818182,0.00332668,0.0166320166,-0.0146981627,-0.0141388175,-0.0283018868,-0.0311284047,0.1007194245,0.0530152419,-0.0319526627,-0.0223048327,
2001-07,-0.024822695,0.0198938992,-0.0081799591,0.0117208311,-0.0069534985,-0.0060101711,-0.0040160643,0.0130718954,0.0066079295,0,0.0266159696,
2001-10,0.1636363636,0.0230819246,0.0226804124,0.0200105319,-0.0026258206,-0.0172093023,0.0282258065,0.0580645161,0.0234448265,0.0366748166,0.0148148148,
2002-01,0.00625,0.0200190658,-0.0100806452,0.0856995354,-0.0162351909,-0.0340747752,0.0549019608,0.0426829268,0.0180207697,0.0778301887,-0.0145985401,
2002-04,-0.0124223602,0.0261682243,-0.0244399185,0.0114122682,0.0017841213,0.0352768251,0.0743494424,-0.0643274854,0.0252025203,-0.0032822757,-0.0111111111,
2002-07,0.0408805031,0.0406800243,-0.0020876827,0.0488951575,0.017809439,-0.0227165168,0.0761245675,0.04375,0.0225343869,-0.0395170143,0.0486891386,
2002-10,0.0634441088,0.0443407235,-0.0209205021,-0.0022411475,0.0126859143,-0.017433414,0.0803858521,0.0179640719,-0.0143102461,-0.1165714286,0.0214285714,
2003-01,0.0142045455,0.0446927374,-0.0213675214,0.0215633423,-0.0151187905,0.0389354362,0.0625,0.0294117647,-0.0418118467,-0.0129366106,0.0174825175,
2003-04,0,0.0229946524,0,-0.0153913808,0.0149122807,-0.0208728653,0.0840336134,0.0742857143,-0.0051515152,0.002621232,0.0137457045,
2003-07,0.0056022409,0.0028750653,0,0.0205448861,0.0103716508,-0.0135658915,0.0542635659,0,0.0173621687,-0.014379085,0.0406779661,
2003-10,0.0473537604,0.0002606203,0.0240174672,-0.0056892779,0.0346449957,-0.0211198428,0.0539215686,0.0425531915,-0.0068862275,0.0676392573,0.0716612378,
2004-01,0.0239361702,0.0289213132,0.1407249467,-0.0074823944,0.0099214551,-0.0060210738,0.0418604651,0.1071428571,0.0084413627,0.0198757764,0.0425531915,
2004-04,-0.0935064935,0.0265890099,-0.0317757009,0.0053215078,-0.0020466639,-0.0065623423,0.0602678571,-0.0414746544,-0.0337817638,-0.0462850183,0.0058309038,
2004-07,0.1547277937,0.0143068574,-0.0135135135,-0.0123511248,0.0032813782,-0.0335365854,-0.0210526316,0.0240384615,-0.0244430693,0.0229885057,0.0086956522,
2004-10,-0.064516129,0.0235894942,-0.0039138943,-0.0285841894,0.0130825838,0.0021030494,0.0258064516,0.0093896714,-0.0161750714,-0.0237203496,-0.0086206897,
2005-01,0.0344827586,0.0299358517,-0.0196463654,-0.047816092,-0.0201775626,-0.0020986359,0.0377358491,-0.0093023256,-0.0170857511,-0.0255754476,-0.0028985507,
2005-04,0.0025641026,0.0366782007,-0.0080160321,-0.04249155,0.0201812191,-0.0110410095,0.004040404,0.0657276995,0.0114791735,-0.0354330709,0.0813953488,0.0340681363
2005-07,0.0025575448,-0.0024477081,0.0060606061,-0.0837115482,0.0060557126,-0.0175438596,-0.0221327968,-0.0044052863,-0.011997406,-0.1197278912,-0.0215053763,0.0014534884
2005-10,-0.0051020408,-0.0283292438,-0.0261044177,0.0231150248,0.0180577849,0.0021645022,-0.012345679,0.0132743363,-0.0518542829,0.027820711,-0.0082417582,0.0179003387
2006-01,0.0076923077,-0.0261707989,-0.0329896907,0.0182894029,0.0039416634,-0.0394168467,-0.05625,0,-0.1135340948,0.0631578947,-0.0166204986,-0.0275665399
2006-04,0.0203562341,-0.0280528053,-0.0426439232,-0.0243000528,-0.0121711818,-0.0618324902,-0.0618101545,-0.0829694323,-0.0710659898,-0.0099009901,-0.0253521127,-0.0342130987
2006-07,-0.0897755611,-0.0281348533,-0.0423162584,-0.0238224147,-0.012718601,-0.0353505093,-0.0494117647,-0.0333333333,-0.0559058428,0.0571428571,-0.0520231214,-0.0010121457
2006-10,0.0191780822,-0.0316945346,0.0186046512,0.0088740987,-0.0382447665,-0.0217391304,-0.0247524752,-0.0147783251,-0.0868210151,-0.05,-0.0457317073,-0.0146909828
2007-01,-0.0053763441,-0.0556701031,0.0091324201,-0.0032985157,-0.0029300963,-0.0673015873,-0.0482233503,0.015,-0.1360312043,-0.0412517781,-0.0127795527,0.0210796915
2007-04,0.0216216216,-0.0412117904,-0.056561086,-0.0159955874,-0.0386230059,-0.0183798502,-0.0586666667,0.0295566502,-0.0959367946,-0.0296735905,-0.0517799353,0.024672709
2007-07,-0.1216931217,-0.0219185881,-0.0215827338,0.033632287,-0.0174672489,0.0547850208,-0.0056657224,-0.019138756,-0.0468164794,-0.0535168196,-0.0068259386,0.0029484029
2007-10,0.0120481928,-0.0293946449,-0.012254902,0.0536876356,-0.0546666667,0.0230111769,-0.0341880342,-0.0975609756,-0.0700720367,-0.0484652666,0.0137457045,0.0200881921
2008-01,-0.0148809524,-0.0461769115,-0.0049627792,0.0957282553,-0.0244475787,0.028277635,-0.0589970501,-0.0540540541,-0.1232394366,-0.0560271647,-0.0305084746,0.0110470701
2008-04,-0.0543806647,-0.0389814524,-0.0623441397,0.1272898074,0.0038554217,0.054375,0,-0.08,-0.0546184739,-0.0071942446,0.034965035,0.0251781473
2008-07,0.1533546326,-0.0480863592,0,0.1091666667,0.0249639942,-0.013040901,-0.0188087774,0.0372670807,-0.0526762957,-0.0307971014,0.0236486486,0.077849861
2008-10,-0.0997229917,-0.0054982818,0.0691489362,0.2062359128,0.0468384075,0.0198198198,0.0127795527,0.1077844311,0.0107623318,0.046728972,0.0858085809,0.1294067068
2009-01,0.1476923077,0.0466482377,0.1368159204,0.212706322,0.0984340045,0.0677267373,0.0536277603,0.0702702703,0.1330967169,0.0339285714,0.1063829787,0.1465550057
2009-04,0.0053619303,0.0379663255,0.0196936543,0.0680534155,0.0643584521,0.0110314396,0.0988023952,0.1262626263,0.0383711825,0.0362694301,0.1318681319,0.0634130146
2009-07,0.016,0.0082697201,0.0536480687,0.0146669873,0.0130118638,0.0589198036,0.0871934605,0.0762331839,0.0520361991,0.0616666667,0.0266990291,-0.0159225726
2009-10,0.0209973753,-0.0296529968,0.0692464358,0.0293838863,0.0366452588,0.0391550747,0.0601503759,-0.0333333333,0.0415770609,0.0423861852,0.0236406619,-0.0548857868
2010-01,0.0745501285,-0.0286085826,0.0914285714,0.0359116022,-0.014212828,0.0371839365,0.0449172577,-0.0818965517,0.1486579491,0.0090361446,0.0138568129,-0.0191339376
2010-04,-0.019138756,-0.0438420348,0.0715532286,0.0364444444,-0.0033271719,-0.0028680688,-0.020361991,-0.0328638498,-0.0065907729,-0.0253731343,-0.0182232346,-0.053045859
2010-07,0.0048780488,-0.0381519076,0.0602605863,0.0040737564,-0.012611276,-0.0450623202,0.0069284065,-0.0145631068,-0.0114595899,-0.0183767228,-0.0208816705,-0.0307191905
2010-10,-0.0655339806,-0.0243813683,0.0952380952,0.0083279949,-0.001878287,0.0170682731,-0.0114678899,-0.0640394089,-0.0091519219,-0.007800312,-0.0473933649,-0.0421327368
2011-01,-0.1168831169,-0.0514733308,0.0785413745,0.0152477764,-0.0063981935,-0.0296150049,-0.0185614849,0.0789473684,-0.0129310345,0.0157232704,-0.0199004975,-0.0455430128
2011-04,-0.0117647059,-0.0479748329,0.0806241873,0.013767209,-0.0022727273,0.004577823,-0.0260047281,-0.0731707317,0.0336868372,0.0294117647,-0.0076142132,-0.0126427406
2011-07,0.0892857143,-0.0264353573,0.0962695548,0.049382716,0.0140470767,0.053164557,0.0461165049,-0.0736842105,0.0108630054,-0.0090225564,-0.0204603581,-0.0735233375
2011-10,-0.0628415301,-0.0288502333,0.1141602634,0.0407843137,0.0183451891,0.0995192308,0.0858468677,0.1590909091,0.0197014925,0.0030349014,0.0208877285,-0.0240748997
2012-01,0.0058309038,-0.0222804718,0.0640394089,0.0395629239,0.0216911765,0.1018801924,0.0363247863,-0.0490196078,-0.0076112412,-0.0257186082,-0.0076726343,0.0059387848
2012-04,0.0289855072,-0.0017873101,0.0953703704,0.0429503443,0.0165527168,0.0579365079,0.0350515464,0.087628866,0.0300884956,-0.0263975155,0.0231958763,-0.0281562216
2012-07,0.0394366197,-0.0116383169,0.0608622147,0.0331885317,0.0127433628,0.0191297824,0.0398406375,0.0568720379,0.0189003436,0.0079744817,0.0352644836,0.0205607477
2012-10,0.0975609756,-0.004076087,0.0199203187,0.0154725866,0.0328556449,0.0614648509,0.0632183908,-0.0358744395,0.0067453626,-0.0126582278,0.0097323601,0.0494505495
2013-01,0.0172839506,0.0100045475,0.01171875,0.0119244783,0.0260575296,0.0423023578,0.0864864865,0.0697674419,0.0161920715,0.0144230769,-0.0048192771,0.0261780105
2013-04,0.0169902913,-0.0126069338,0.0401544402,-0.0049099836,0.0069261214,0.0123087159,0.0530679934,-0.0304347826,0.0104395604,0.0537124803,-0.0072639225,0.0378401361
2013-07,0.0023866348,-0.0159598723,0.004454343,-0.0024671053,-0.0062233868,0.0105159382,0.0551181102,0.0538116592,-0.0315388798,-0.0209895052,-0.0024390244,0.0229414175
2013-10,-0.0071428571,-0.0074142725,-0.0169992609,-0.0201154163,-0.0171390903,0.0162601626,0.0164179104,0.0127659574,-0.0263896687,-0.0045941807,0.0024449878,0.0016019223
2014-01,0.0239808153,-0.0079365079,-0.0233082707,-0.0272589601,0.0127431254,0.04032,0.0190895742,0.025210084,-0.0074971165,-0.0246153846,0.012195122,0.0567772891
2014-04,-0.0070257611,-0.0155294118,0.0007698229,-0.0214495762,-0.0066225166,-0.025530606,-0.0331412104,-0.012295082,-0.0650784428,-0.0126182965,-0.0072289157,0.0495648884
2014-07,-0.0070754717,0.0019120459,-0.0276923077,-0.0210358847,0.0106666667,0.0160984848,-0.0491803279,0.0165975104,-0.0764449969,0.0255591054,-0.0072815534,0.0717375631
2014-10,0.0047505938,-0.0138358779,-0.0205696203,-0.0135427952,0.0131926121,0.0114942529,-0.0015673981,0.012244898,-0.0349932705,-0.0280373832,-0.0073349633,0.0221997982
2015-01,0.0236406619,-0.0333817126,-0.0088852989,-0.0289218378,-0.0061848958,-0.035012285,-0.0031397174,-0.0241935484,-0.0230125523,0,-0.0098522167,-0.0082263903
2015-04,-0.0115473441,-0.0185185185,-0.0187449063,-0.0248821866,0.0157222404,-0.0101845958,-0.0283464567,0.0578512397,-0.0678087081,0.0048076923,-0.0099502488,0.0089581951
2015-07,-0.0747663551,-0.0203977562,-0.0083056478,-0.0425285134,-0.009351822,-0.0520900322,-0.0194489465,-0.03515625,-0.0260336907,-0.0015948963,-0.0603015075,0.006576784
2015-10,0.0858585859,-0.0130140552,-0.0192629816,-0.0337169392,-0.0205078125,0.000339213,-0.0082644628,0.0607287449,-0.0377358491,-0.03514377,-0.0080213904,0.0104541
2016-01,-0.0511627907,-0.0216244726,-0.0170794193,-0.024237359,0.0016616816,0.002712784,-0.04,0.0190839695,-0.0637254902,-0.0562913907,0.0107816712,-0.01842871
2016-04,0.0024509804,-0.0188679245,-0.0156385752,-0.017130621,-0.0136031851,0.0148799459,-0.0260416667,0.0224719101,-0.0567190227,-0.050877193,-0.0373333333,0.046113307
2016-07,-0.0660146699,-0.0274725275,-0.0088261253,-0.0368191721,-0.0141271443,-0.001332889,-0.0659536542,0.0183150183,-0.0277520814,-0.0480591497,0.0055401662,0.1007556675
2016-10,-0.054973822,-0.0401129944,-0.0062333037,-0.0418457363,0.0058000682,0.019019019,-0.0553435115,-0.0647482014,-0.0761179829,-0.040776699,0.0082644628,0.0394736842
2017-01,0.0498614958,-0.014714538,-0.0340501792,-0.0212464589,-0.0345997286,-0.0163719712,-0.0464646465,-0.0115384615,-0.0823892894,-0.0344129555,-0.0273224044,-0.0074298294
2017-04,-0.0395778364,-0.023297491,-0.0408163265,-0.0516160154,-0.0077301476,-0.0329560586,-0.0423728814,-0.0505836576,-0.0213243547,-0.0335429769,0.0028089888,-0.0282783477
2017-07,-0.010989011,-0.0354740061,-1,-0.0277212614,0.0092067989,0.0013769363,-0.0530973451,0,-0.0470183486,-0.0281995662,0.0280112045,-1
